"filename", "language", "JavaScript", "HTML", "CSS", "vue", "SCSS", "YAML", "Markdown", "JSON", "XML", "comment", "blank", "total"
"d:\Source code\guagui\JRMS2.0\.eslintrc.js", "JavaScript", 195, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 199
"d:\Source code\guagui\JRMS2.0\.travis.yml", "YAML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Source code\guagui\JRMS2.0\README-zh.md", "Markdown", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 37, 97
"d:\Source code\guagui\JRMS2.0\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 37, 90
"d:\Source code\guagui\JRMS2.0\babel.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\Source code\guagui\JRMS2.0\build\index.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"d:\Source code\guagui\JRMS2.0\index.html", "HTML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\jest.config.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 25
"d:\Source code\guagui\JRMS2.0\mock\index.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 67
"d:\Source code\guagui\JRMS2.0\mock\mock-server.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 69
"d:\Source code\guagui\JRMS2.0\mock\table.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"d:\Source code\guagui\JRMS2.0\mock\user.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 85
"d:\Source code\guagui\JRMS2.0\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 1, 81
"d:\Source code\guagui\JRMS2.0\postcss.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 9
"d:\Source code\guagui\JRMS2.0\public\index.html", "HTML", 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 4, 23
"d:\Source code\guagui\JRMS2.0\public\static\js\webrtcstreamer.js", "JavaScript", 262, 0, 0, 0, 0, 0, 0, 0, 0, 79, 34, 375
"d:\Source code\guagui\JRMS2.0\public\static\video.html", "HTML", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"d:\Source code\guagui\JRMS2.0\src\App.vue", "vue", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 3, 30
"d:\Source code\guagui\JRMS2.0\src\api\accesso.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 74
"d:\Source code\guagui\JRMS2.0\src\api\alarm.js", "JavaScript", 114, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 133
"d:\Source code\guagui\JRMS2.0\src\api\areaConfig.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 43
"d:\Source code\guagui\JRMS2.0\src\api\carrier.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"d:\Source code\guagui\JRMS2.0\src\api\charge.js", "JavaScript", 147, 0, 0, 0, 0, 0, 0, 0, 0, 15, 12, 174
"d:\Source code\guagui\JRMS2.0\src\api\dashboard.js", "JavaScript", 176, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 195
"d:\Source code\guagui\JRMS2.0\src\api\file.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Source code\guagui\JRMS2.0\src\api\homepageAlarm.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 34
